LECROYWaveRunnerHU,21832,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,11-Sep-2019 19:29:44,0                 
Time,Ampl
-1.580494e-07,0.0145368
-1.579994e-07,0.015009
-1.579494e-07,0.0163529
-1.578994e-07,0.0175153
-1.578494e-07,0.0180238
-1.577994e-07,0.0180964
-1.577494e-07,0.0175879
-1.576994e-07,0.0164256
-1.576494e-07,0.0151543
-1.575994e-07,0.0140283
-1.575494e-07,0.0135561
-1.574994e-07,0.0142462
-1.574494e-07,0.0158081
-1.573994e-07,0.0171884
-1.573494e-07,0.017479
-1.572994e-07,0.0167525
-1.572494e-07,0.0152633
-1.571994e-07,0.012866
-1.571494e-07,0.0103597
-1.570994e-07,0.00901576
-1.570494e-07,0.00847092
-1.569994e-07,0.00690904
-1.569494e-07,0.00389425
-1.568994e-07,0.00182386
-1.568494e-07,0.00171489
-1.567994e-07,0.00225973
-1.567494e-07,0.00225973
-1.566994e-07,0.00120637
-1.566494e-07,0.000225658
-1.565994e-07,0.000153012
-1.565494e-07,0.000189335
-1.564994e-07,0.000298303
-1.564494e-07,0.000370948
-1.563994e-07,-0.000282861
-1.563494e-07,-0.00202635
-1.562994e-07,-0.00438733
-1.562494e-07,-0.00631243
-1.561994e-07,-0.00729315
-1.561494e-07,-0.00765637
-1.560994e-07,-0.00685727
-1.560494e-07,-0.00442365
-1.559994e-07,-0.00155416
-1.559494e-07,0.00066153
-1.558994e-07,0.00218708
-1.558494e-07,0.0026956
-1.557994e-07,0.00186018
-1.557494e-07,0.000479917
-1.556994e-07,-0.000972992
-1.556494e-07,-0.00300707
-1.555994e-07,-0.00533172
-1.555494e-07,-0.00747476
-1.554994e-07,-0.00838283
-1.554494e-07,-0.00776534
-1.553994e-07,-0.00678463
-1.553494e-07,-0.00584024
-1.552994e-07,-0.00464159
-1.552494e-07,-0.00395146
-1.551994e-07,-0.00471423
-1.551494e-07,-0.00692992
-1.550994e-07,-0.00834651
-1.550494e-07,-0.00798328
-1.549994e-07,-0.00714786
-1.549494e-07,-0.00616714
-1.548994e-07,-0.00416939
-1.548494e-07,-0.00159048
-1.547994e-07,0.000116689
-1.547494e-07,0.0010974
-1.546994e-07,0.0018965
-1.546494e-07,0.00251399
-1.545994e-07,0.00251399
-1.545494e-07,0.00182386
